,file,line,severity,issue,snippet
4,/audit/backend/autoload.php,146,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","__DIR__ . '/src/Utils/' . $baseClassName . '.php',"
2253,/audit/backend/config/auth-rate-limiter.php,24,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","$_SESSION['rate_limit'][$ip] = ['count' => 0, 'start' => time()];"
2254,/audit/backend/config/auth-rate-limiter.php,104,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","error_log(""IP bloqueada por fuerza bruta: $ip - "" . date('Y-m-d H:i:s'));"
2255,/audit/backend/config/auth-rate-limiter.php,184,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","header(""Retry-After: $remaining"");"
2256,/audit/backend/config/auth-rate-limiter.php,226,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","error_log(""RateLimit[$ip] count={$entry['count']} start={$entry['start']} max="" . RATE_LIMIT_MAX_ATTEMPTS);"
2257,/audit/backend/config/auth-rate-limiter.php,230,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","error_log(""RateLimit[$ip] resultado: "" . ($result ? 'PERMITIR' : 'BLOQUEAR'));"
2258,/audit/backend/config/auth-rate-limiter.php,246,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","error_log(""RateLimit[$ip] LOGIN EXITOSO - contador reseteado"");"
2259,/audit/backend/config/bootstrap.php,36,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","putenv(""$key=$value"");"
2260,/audit/backend/config/bootstrap.php,104,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","'message' => isDevelopment() ? $error['message'] : 'Ha ocurrido un error interno del servidor',"
2261,/audit/backend/config/bootstrap.php,110,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","'file' => $error['file'],"
2262,/audit/backend/config/bootstrap.php,111,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","'line' => $error['line'],"
2263,/audit/backend/config/bootstrap.php,112,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",'type' => $error['type']
2264,/audit/backend/config/bootstrap.php,134,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","'message' => isDevelopment() ? $exception->getMessage() : 'Ha ocurrido un error interno del servidor',"
2265,/audit/backend/config/config.php,27,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","if ($line === '' || str_starts_with($line, '#') || !str_contains($line, '=')) continue;"
2266,/audit/backend/config/config.php,32,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","putenv(""$name=$value"");"
2267,/audit/backend/config/config.php,78,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","ini_set('error_log', ""$logDir/error.log"");"
2268,/audit/backend/config/config.php,85,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","if (empty(config($key))) error_log(""ERROR CRÃTICO: ConfiguraciÃ³n faltante: $key"");"
2269,/audit/backend/config/container.php,19,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","$container->setParameter('database.host', $_ENV['DB_HOST'] ?? 'localhost');"
2270,/audit/backend/config/container.php,20,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","$container->setParameter('database.port', $_ENV['DB_PORT'] ?? 3306);"
2271,/audit/backend/config/container.php,21,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","$container->setParameter('database.name', $_ENV['DB_NAME'] ?? 'bubble_talents');"
2272,/audit/backend/config/container.php,22,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","$container->setParameter('database.user', $_ENV['DB_USER'] ?? 'root');"
2273,/audit/backend/config/container.php,23,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","$container->setParameter('database.password', $_ENV['DB_PASSWORD'] ?? '');"
2274,/audit/backend/config/container.php,52,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","$container->setParameter('ai.ollama.base_url', $_ENV['OLLAMA_API_URL'] ?? 'http://localhost:11434');"
2275,/audit/backend/config/container.php,53,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","$container->setParameter('ai.ollama.model', $_ENV['OLLAMA_MODEL'] ?? 'llama3.2');"
2276,/audit/backend/config/container.php,54,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","$container->setParameter('ai.ollama.timeout', (int)($_ENV['OLLAMA_TIMEOUT_MS'] ?? 180000));"
2277,/audit/backend/config/container.php,56,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","$container->setParameter('ai.openai.api_key', $_ENV['OPENAI_API_KEY'] ?? '');"
2278,/audit/backend/config/container.php,57,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","$container->setParameter('ai.openai.model', $_ENV['OPENAI_MODEL'] ?? 'gpt-4');"
2279,/audit/backend/config/container.php,118,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","'host' => $_ENV['REDIS_HOST'] ?? 'localhost',"
2280,/audit/backend/config/container.php,119,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","'port' => $_ENV['REDIS_PORT'] ?? 6379,"
2281,/audit/backend/config/container.php,120,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","'database' => $_ENV['REDIS_DB'] ?? 0,"
2282,/audit/backend/config/database.php,21,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","$dsn = ""mysql:host=$host;port=$port;dbname=$dbname;charset=$charset"";"
2283,/audit/backend/config/database.php,27,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","PDO::MYSQL_ATTR_INIT_COMMAND => ""SET NAMES {$charset} COLLATE {$charset}_unicode_ci"","
2284,/audit/backend/config/database.php,47,HIGH,SQL string concat \$[A-Za-z_][A-Za-z0-9_]*\s*\.\s*\$[A-Za-z_][A-Za-z0-9_]*,"return ($prefix && !str_starts_with($name, $prefix)) ? $prefix . $name : $name;"
2285,/audit/backend/config/error_handler.php,76,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","Logger::error(""PHP $errorType"", ["
2286,/audit/backend/config/error_handler.php,127,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","echo ""Error fatal: $errorId\n"";"
2287,/audit/backend/config/error_handler.php,147,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","'message' => $error['message'],"
2288,/audit/backend/config/error_handler.php,148,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","'file' => basename($error['file']),"
2289,/audit/backend/config/error_handler.php,149,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","'line' => $error['line'],"
2290,/audit/backend/config/error_handler.php,150,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",'type' => $error['type']
2291,/audit/backend/config/error_handler.php,166,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",'debug' => $error['message']
2292,/audit/backend/config/error_handler.php,199,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",if (isset($_SERVER['HTTPS']) && $_SERVER['HTTPS'] === 'on') {
2293,/audit/backend/config/error_handler.php,227,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","'request_method' => $_SERVER['REQUEST_METHOD'] ?? 'CLI',"
2294,/audit/backend/config/error_handler.php,228,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",'request_uri' => $_SERVER['REQUEST_URI'] ?? 'N/A'
2296,/audit/backend/config/input-sanitizer.php,63,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","error_log(""Intento de SQL injection detectado en email: $email"");"
2297,/audit/backend/config/input-sanitizer.php,84,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","error_log(""Intento de SQL injection detectado en texto: $text"");"
2298,/audit/backend/config/input-sanitizer.php,153,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","error_log(""Intento de SQL injection detectado en email: $email"");"
2299,/audit/backend/config/input-sanitizer.php,170,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","error_log(""Intento de SQL injection en contraseÃ±a desde IP: "" . ($_SERVER['REMOTE_ADDR'] ?? 'unknown'));"
2300,/audit/backend/config/input-sanitizer.php,196,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","error_log(""Header malicioso detectado - $header: $value"");"
2301,/audit/backend/config/input-sanitizer.php,214,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","$logEntry = ""[$timestamp] SECURITY: $type - IP: $ip - UA: $userAgent - Data: "" . json_encode($data);"
2306,/audit/backend/config/password-policy.php,218,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",return $result['valid'] && $result['strength'] >= 70;
2322,/audit/backend/config/security-headers.php,63,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",": ""script-src 'self' 'nonce-$nonce'"","
2323,/audit/backend/config/security-headers.php,66,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",": ""style-src 'self' 'nonce-$nonce' https://fonts.googleapis.com https://cdnjs.cloudflare.com"","
2324,/audit/backend/config/security-headers.php,69,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",": ""style-src-elem 'self' 'nonce-$nonce' https://fonts.googleapis.com https://cdnjs.cloudflare.com"","
3815,/audit/backend/public/api/ai/calculate-matching.php,23,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",if (($_ENV['APP_ENV'] ?? 'production') === 'production' && !empty($_SERVER['HTTP_AUTHORIZATION'])) {
3816,/audit/backend/public/api/ai/calculate-matching.php,38,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",if (!isset($input['candidate']) || !is_array($input['candidate'])) {
3817,/audit/backend/public/api/ai/calculate-matching.php,41,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",if (!isset($input['job']) || !is_array($input['job'])) {
3818,/audit/backend/public/api/ai/calculate-matching.php,49,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","$result = $service->evaluateMatch($input['candidate'], $input['job']);"
3820,/audit/backend/public/api/ai/candidate-matching.php,22,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",if (($_ENV['APP_ENV'] ?? 'production') === 'production' && !empty($_SERVER['HTTP_AUTHORIZATION'])) {
3821,/audit/backend/public/api/ai/candidate-matching.php,69,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",if (!isset($input['candidate_data']) || !isset($input['job_data'])) {
3822,/audit/backend/public/api/ai/candidate-matching.php,94,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",if (!isset($input['candidates']) || !isset($input['job_data'])) {
3823,/audit/backend/public/api/ai/candidate-matching.php,120,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",if (!isset($input['candidate_data']) || !isset($input['job_data'])) {
3824,/audit/backend/public/api/ai/candidate-matching.php,145,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",if (!isset($input['candidate_data']) || !isset($input['job_data'])) {
3825,/audit/backend/public/api/ai/candidate-matching.php,162,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","'overall_score' => $matching['overall_score'] ?? null,"
3826,/audit/backend/public/api/ai/candidate-matching.php,163,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","'recommendation' => $matching['recommendation'] ?? null,"
3827,/audit/backend/public/api/ai/candidate-matching.php,164,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","'qualification_level' => $qualification['qualification_level'] ?? null,"
3828,/audit/backend/public/api/ai/candidate-matching.php,165,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","'risk_assessment' => $qualification['risk_level'] ?? null,"
3830,/audit/backend/public/api/ai/communication.php,20,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",if (($_ENV['APP_ENV'] ?? 'production') === 'production' && !empty($_SERVER['HTTP_AUTHORIZATION'])) {
3831,/audit/backend/public/api/ai/communication.php,55,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",if (!isset($input['email_type']) || !isset($input['candidate_data'])) {
3832,/audit/backend/public/api/ai/communication.php,81,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",if (!isset($input['candidate_data']) || !isset($input['job_data'])) {
3833,/audit/backend/public/api/ai/communication.php,105,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",if (!isset($input['candidate_data']) || !isset($input['job_data'])) {
3834,/audit/backend/public/api/ai/communication.php,131,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",if (!isset($input['candidate_data']) || !isset($input['job_data'])) {
3835,/audit/backend/public/api/ai/communication.php,157,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",if (!isset($input['candidate_data']) || !isset($input['job_data'])) {
3836,/audit/backend/public/api/ai/communication.php,183,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",if (!isset($input['candidate_data']) || !isset($input['job_data']) || !isset($input['new_status'])) {
3837,/audit/backend/public/api/ai/communication.php,231,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",if (!isset($input['candidate_data']) || !isset($input['job_data']) || !isset($input['triggers'])) {
3838,/audit/backend/public/api/ai/communication.php,256,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",if (!isset($input['candidates']) || !isset($input['job_data']) || !isset($input['email_type'])) {
3839,/audit/backend/public/api/ai/communication.php,270,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","'candidate_id' => $candidate['id'] ?? null,"
3840,/audit/backend/public/api/ai/communication.php,271,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","'candidate_email' => $candidate['email'] ?? null,"
3842,/audit/backend/public/api/ai/content-generation.php,18,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",if (($_ENV['APP_ENV'] ?? 'production') === 'production' && !empty($_SERVER['HTTP_AUTHORIZATION'])) {
3843,/audit/backend/public/api/ai/content-generation.php,84,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","Res::fail(""Acción no válida: {$action}"", 400);"
3844,/audit/backend/public/api/ai/content-generation.php,102,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","'action' => $inputData['action'] ?? null,"
3848,/audit/backend/public/api/ai/extract-cv-stage1.php,20,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",if (($_ENV['APP_ENV'] ?? 'production') === 'production' && !empty($_SERVER['HTTP_AUTHORIZATION'])) {
3847,/audit/backend/public/api/ai/extract-cv-stage1.php,85,HIGH,Network call \bcurl_init\s*\(,"$curl = curl_init(""$ollamaHost/api/generate"");"
3849,/audit/backend/public/api/ai/extract-cv-stage1.php,85,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","$curl = curl_init(""$ollamaHost/api/generate"");"
3850,/audit/backend/public/api/ai/extract-cv-stage1.php,119,HIGH,SQL string concat \$[A-Za-z_][A-Za-z0-9_]*\s*\.\s*\$[A-Za-z_][A-Za-z0-9_]*,$cleanFilePath = $cleanDir . $cleanFileName;
3846,/audit/backend/public/api/ai/extract-cv-stage1.php,121,HIGH,File operation \bfile_put_contents\s*\(,"if (file_put_contents($cleanFilePath, $cleanContent) === false) {"
3851,/audit/backend/public/api/ai/extract-cv-stage1.php,132,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","'reduction_ratio' => round((1 - strlen($cleanContent) / max(1, strlen($cvContent))) * 100, 1) . '%',"
3856,/audit/backend/public/api/ai/extract-cv-stage2.php,20,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",if (($_ENV['APP_ENV'] ?? 'production') === 'production' && !empty($_SERVER['HTTP_AUTHORIZATION'])) {
3854,/audit/backend/public/api/ai/extract-cv-stage2.php,132,HIGH,Network call \bcurl_init\s*\(,"$curl = curl_init(""$ollamaHost/api/generate"");"
3857,/audit/backend/public/api/ai/extract-cv-stage2.php,132,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","$curl = curl_init(""$ollamaHost/api/generate"");"
3858,/audit/backend/public/api/ai/extract-cv-stage2.php,197,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","$baseName = str_replace('-clean', '', $pathInfo['filename']);"
3859,/audit/backend/public/api/ai/extract-cv-stage2.php,199,HIGH,SQL string concat \$[A-Za-z_][A-Za-z0-9_]*\s*\.\s*\$[A-Za-z_][A-Za-z0-9_]*,$jsonFilePath = $jsonDir . $jsonFileName;
3853,/audit/backend/public/api/ai/extract-cv-stage2.php,202,HIGH,File operation \bfile_put_contents\s*\(,"if (file_put_contents($jsonFilePath, $finalJson) === false) {"
3862,/audit/backend/public/api/ai/extract-skills.php,12,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",if (($_ENV['APP_ENV'] ?? 'production') === 'production' && !empty($_SERVER['HTTP_AUTHORIZATION'])) {
3867,/audit/backend/public/api/ai/parse-cv-file.php,12,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",if (($_ENV['APP_ENV'] ?? 'production') === 'production' && !empty($_SERVER['HTTP_AUTHORIZATION'])) {
3868,/audit/backend/public/api/ai/parse-cv-file.php,119,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","""Texto del CV:\n---\n"" . $content . ""\n---"";"
3865,/audit/backend/public/api/ai/parse-cv-file.php,127,HIGH,Network call \bcurl_init\s*\(,"$curl = curl_init(""$ollamaHost/api/generate"");"
3869,/audit/backend/public/api/ai/parse-cv-file.php,127,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","$curl = curl_init(""$ollamaHost/api/generate"");"
3870,/audit/backend/public/api/ai/parse-cv-file.php,145,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","echo json_encode(['error' => 'Error al conectar con Ollama', 'details' => curl_error($curl), 'timeout' => true]);"
3871,/audit/backend/public/api/ai/parse-cv-file.php,160,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","echo json_encode(['status' => 'ok', 'ollama_response' => $data['response']]);"
3879,/audit/backend/public/api/ai/parse-cv-openai.php,10,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",if (($_ENV['APP_ENV'] ?? 'production') === 'production' && !empty($_SERVER['HTTP_AUTHORIZATION'])) {
3880,/audit/backend/public/api/ai/parse-cv-openai.php,59,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",error_log('CV Parse Request - Method: ' . $_SERVER['REQUEST_METHOD']);
3881,/audit/backend/public/api/ai/parse-cv-openai.php,60,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]",error_log('CV Parse Request - Origin: ' . ($_SERVER['HTTP_ORIGIN'] ?? 'No origin'));
